region,province,avg_household_income,avg_household_debt,poverty_line_per_person_month,debt_to_income_months,est_household_poverty_line,income_above_poverty_line_ratio
ตะวันออกเฉียงเหนือ,สุรินทร์,22822.2,247702.5,2618.9007,10.853576780503193,7856.7021,2.904806585450147
ตะวันออกเฉียงเหนือ,สกลนคร,22648.5,261048.6,2814.5869,11.526087820385456,8443.760699999999,2.682276393740055
ตะวันออกเฉียงเหนือ,อุบลราชธานี,22584.1,233990.3,2673.4111,10.360842362547102,8020.2333,2.8158906549513962
ตะวันตก,สุพรรณบุรี,22401.8,53756.3,3191.6302,2.39964199305413,9574.8906,2.3396403087884887
ใต้,สตูล,22190.8,214634.9,2936.8467,9.672247057339078,8810.5401,2.51866511566073
ตะวันออกเฉียงเหนือ,มหาสารคาม,22129.4,138895.9,2812.274,6.276532576572342,8436.822,2.6229544726675518
เหนือ,ลำปาง,22109.1,135141.5,2763.2312,6.1124830951960964,8289.6936,2.667058768010436
เหนือ,ตาก,22093.4,137384.4,2651.6089,6.2183457503145725,7954.8267000000005,2.7773578021504854
เหนือ,แพร่,21996.6,219296.3,2719.2527,9.969554385677787,8157.7581,2.6964025814886567
ตะวันออก,ปราจีนบุรี,21896.4,145123.3,3121.1517,6.627724192104637,9363.4551,2.3384957546280116
ตะวันออกเฉียงเหนือ,นครพนม,21423.6,219666.2,2599.0933,10.253468137941336,7797.2798999999995,2.747573548052315
เหนือ,อุทัยธานี,21201.0,193987.4,2631.849,9.14991745672374,7895.5470000000005,2.685184446372113
เหนือ,น่าน,20463.4,186738.5,2679.9964,9.12548745565253,8039.9892,2.5452024239037536
ใต้,ปัตตานี,19322.6,108213.5,2796.4908,5.600359164915695,8389.4724,2.3031960865620102
เหนือ,แม่ฮ่องสอน,18949.6,178073.2,2640.0148,9.3972009963271,7920.0444,2.3926128494936214
ตะวันออกเฉียงเหนือ,ขอนแก่น,18869.666666666668,55914.2,2974.3001,2.963178999805684,8922.9003,2.114745882195576
เหนือ,พะเยา,18561.2,169200.0,2911.7186,9.115789927375385,8735.1558,2.12488482460725
เหนือ,เชียงราย,17515.3,66651.9,2770.7828,3.8053530342043813,8312.348399999999,2.1071421886022006
ใต้,นราธิวาส,17456.25,52113.4,2847.9956,2.985372001432152,8543.9868,2.043103577828561
